Explain what is the MACD Indicator and how to use it efficiently
Explain with examples how the datetime python library works and how to use it
Explain me what is 
What do you think about (non recent thing)
Ecrit moi un article en plusieurs chapitre sur l'or
Write an acrostic poem about the status of ChatGPT.
Fait moi un résumé le plus simple et court possible pour chaque chapitre
Soit une {phrase}, tu dois me renvoyer {la négation de la phrase}. Répond avec "Prêt !"

Correct this to standard English: x
Translate this from English to French: x

'd	would/should/could/did
comprise	composed of/comprendre/constituer
comrades	camarades
confidently	En toute confiance
congregating	se rassembler
conspicuous	visible/remarquable
contrary to	contrairement à
cough up	cracher
could toss	pourrait lancer
counter	compteur/comptoire/contre/contrer
course	cours/parcours/parcourir
coverage	couverture (protection)
covet	convoiter
crack of smile	sourire en coin/éclat de sourire
crevice	crevasse/fente/fissure
crisp	croustillant
critters	bestioles
crop up	surgir
crosswalk	passage pieton
crowds	foules
cry out	crier/s'écrier 
cull	cueillir/abattre
cull them all	abattez-les tous
cup	coupe/tasse
curl up	se pelotonner/se recroqueviller
currents	courants
custodian	gardien/conservateur
customer	client/clientèle
cut it out	Ça suffit
cut it out	Ça suffit!
cutting-edge	de pointe
damn trainees	maudits stagiaires
dandelion	pissenlit
daring	audacieux
day after day	jours apres jours
deed	acte
deem	considérer
delicacy	délicatesse
delight	plaisir/délice/ravir
demeanor	comportement/attitude/conduite
depletes	épuise
despise	mépriser
despite	en dépit/malgres
devise	élaboration/concevoir/élaborer
dilly-dallying	tergiverser
diluc's theft	Le vol de Diluc
dim	faible/sombre/tamiser
disasters	catastrophes
disbelief	incrédulité
disclaimer	avertissement
dish	assiette/plat
dish it out	distribuez-le
dismissal	destitution/départ
display	écran/affichage
do me proud	rends-moi fier
does it stem	est-ce que ça vient
doll	poupée
don't anger me	ne m'énerve pas
don't bother	ne t'embête pas
don't bother racking your brain	ne vous embêtez pas à vous creuser la tête
don't rush it and drop your tools	ne vous précipitez pas et déposez vos outils
don't screw this up	ne gâche pas ça
don't take your eyes off it	ne le quittez pas des yeux
doomrats	rats de malheur
down the line	sur toute la ligne
downward	vers le bas
drafting up	rédaction
dragging me through	me traînant à travers
driven	conduit/passionné
drop by	passer
drop by when	passer quand
drop on	déposer sur
drop on by your neighborhood	passe dans ton quartier
drop on by your neighborhood item shop	rendez-vous dans votre magasin d'articles de quartier
drown	noyer
du pain	bread
duck	canard
duggery	duperie
dump	décharger
duty	devoir/droit/obligation/service
eavesdropp	écouter de façon indiscrète
edible	comestible
either way	dans les deux cas
embed	intégrer
embittered	
embody	incarner
engulf	engloutir
enjoy	profitez/apprécier
enjoy yourself	Amusez-vous bien
enshrine	conserver précieusement
ensues	s'ensuit
entrust	confier
even so	malgré toutefois/tout/néanmoins
every so often	de temps en temps
evil	mauvais
executioners	bourreaux
expect	attendre/espérer
expel	expulser
eyelid	paupière
eyesore	horreur
fade	disparaître
fade up	s'estomper
faint	faible/léger/s'évanouir
faint	perdre connaissance
fair share	partage équitable
falcon	faucon
fall	tombe
fall	tomber
fallen	déchu
falling apart	s'effondrer
fang	croc
farewell	adieu
feast	festin
feel at ease	sentir à l'aise
feel at home	se sentir à la maison
feel right at home	se sentir comme chez soi
fell	tomba/abattre
fellow	collègue/compagnon
fence post	poteau de clôture
few	quelques/peu
fewer	moins/moins de
fierce	féroce
file off	limer
fill you in on	vous renseigner sur
fire up	gonflé à bloc/allumer
fired up	gonflé à bloc/excité
first sight	première vue
first-floor room	salle au premier étage
fit	en forme
fitting punishment	punition appropriée
flag	drapeau/étendard/signaler
flawess	sans défaut
flee	fuir
fling flung flung	jeter/lancer/projeter/aventure
flow	couler
flowing air	air qui coule
fly out	envoler
fogged	embué/confus
folk	gens/populaire
folks	gens
fond	aimer/adorer/affectueux/tendre
fondness	penchant
food and whatnot	nourriture et autres
fooling me	me tromper
for I	car je
for all i care	pour tout ce qui m'importe
for naught	pour rien
widest possible	plus vaste possible
for parts	pour pièces
conveyor belt	tapis roulant
tapis	carpet
for starters	pour commencer/pour les debutants
for the sake of	Pour l'amour de
forbidden	interdit/défendu
force of will	force de volonté
foreboding	pressentiment
foreign	étranger
bead	perle
you are grounded	tu es puni
foremost	avant toute chose
foresee	prévoir
formal	formel/officiel
foul	faute
found his calling	a trouvé sa vocation
free will	libre arbitre/liberté d'expression
freebie	billet de faveur
freed	libéré
from afar	de loin
from here	à partir d'ici
from here on out	à partir de maintenant
from scratch	de zéro
fruitions	réalisation/jouissance
further	plus loin
fuss	histoire/agitation/agiter
gale	coup de vent/grand vent
galesong	chant des vents
gather	rassembler
gathering	la cueillette
gaze	regard/regarder
geared	adapté
geared up	Paré
gentle	doux/gentil
get along	s'entendre
get down to	passer à/descendre à
get enough	en avoir assez
get his act together	se ressaisir
get out	Sortez
get tighter	se resserrer
get to see	réussir à voir/chance de voir
get up	se lever
get your hopes up	s'emballer
gig	concert
gimmicks	gadgets
gist	essentiel
given	donné/accordé/étant donné
given you	étant donné que tu
glamorous	glamour
glance	coup d'œil
glum	maussade
gonna	going to
goods	marchandises/biens
gorge	gorge/engouffrer
got every last one too	j'ai eu le dernier aussi
got into the store	est entré dans le magasin
got rid of thoses	débarrassé de ceux-là
gotta	got to/have to
grab	saisir
graduate internship	Stage de fin d'études
grasp	saisir/comprendre
grasping	saisir
grave	grave/sérieux
gray's emotional strength trumped Rufus's.	La force émotionnelle de Gray l'emportait sur celle de Rufus.
greenhorn	jeunot
grief	douleur
grudge	rancune
gut	intestin/instinct/tripes
snot	morve
ham	jambon
handle	manipuler
handwriting	écriture
hanging	suspendu
hang pendre
hang around	traîner
hang in	accrocher dans
hang in a balance	est en équilibre
hang in the balance	est en jeu
hang on	résister/attendre
harm	préjudice
harness	exploiter
harness its energy	exploiter son énergie
has seen many a moon	a vu plus d'une lune
has to lift the owner's spirit	doit remonter le moral du propriétaire
hatred	haine
hats off	chapeau/chapeau bas/bravo
haul	transport/butin/transporter
have it your way	fait comme tu veux
have it your way	faites comme vous voulez
have made	ont fait
have made themself	se sont fait
have made themself at home	ont fait comme chez eux
hawk	faucon
he could	il pourrait
he lured	il a attiré
he nicked it	il l'a piqué
he parted	il s'est séparé
he takes it upon himself	il prend sur lui
head	tête/chef/diriger
head back	la tête en arrière
head down	tête baissée
head off	partir
head up	tête haute/diriger vers le haut
headband	Bandeau
heartache	chagrin
heartstoppers	coups de cœur
heated up	réchauffé
heavenly	céleste
hedgehog	hérisson
heed	tenir compte/écouter
helping hand	Coup de main
helpless look	regard impuissant
hence	Par conséquent/ainsi
hidden	caché
hill	colline
hinder	entraver
hindmost	le plus en arrière
hinge on	dépen de
hinge upon	reposer sur
his cries	ses pleurs
his share of	sa part de
his skin turned to scales	sa peau s'est transformée en écailles
hissing	sifflant
hold of	main sur/emparer de
hold you to that	tenez-vous à cela
hop	saut
horn	corne/klaxon
hosepipe	tuyau d'arrosage
hot springs	sources chaudes
hotel	hôtel
hotshot	champion/successful person
hotshot	crâneur
how did it feel	comment vous êtes-vous senti
how it's done	comment c'est fait
how's about you and me get a room and play pin the tail feather on the chocobo	Et si vous et moi prenions une chambre et jouions à épingler la plume de la queue sur le chocobo
hum	bourdonnement/fredonner/chantonner
i awoke	je me suis réveillé
i been meaning to ask	je voulais demander
i can't picture	je ne peux pas imaginer
i concur	Je suis d'accord
i don't want to get your hopes up	Je ne veux pas te faire de faux espoirs
i dug	j'ai creusé
i dug them out	je les ai déterrés
i fouled	j'ai commis une faute
i fouled things up	j'ai gâché les choses
i held	j'ai tenu
i held onto them	je les ai retenus
i hold onto them	je les retiens
i intend	je prévois
i just happen to be	je viens juste d'être
i meant to atone	je voulais expier
i owe you	je vous dois
i pay more attention	je fais plus attention
i recall	je rappelle
i recall with	je me souviens avec
i recall with crystal clarity	je me souviens avec une clarté cristalline
i shall	je vais
i switch out	je change
i want them to stay on it	je veux qu'ils restent dessus
i would like you to	J'aimerais que tu
i'll fill you in later	je vous renseignerai plus tard
i'll handle	je vais gérer
i'll handle it	je vais m'en occuper
i'll lend a hand	je vais donner un coup de main
i'll manage	Je me débrouillerai
i'm all set	je suis prêt
if you don't look out for yourself, no one else will	si vous ne faites pas attention à vous-même, personne d'autre ne le fera
in a bit	dans un petit instant
in a huge crush	dans un énorme béguin
in a hurry	pressé
in a place	dans un endroit
in a place this dark	dans un endroit aussi sombre
in any case	dans tout les cas
in charge of collections	en charge des recouvrements
in days	en jours
in every way	de toutes les manières
in half	à moitié
in the break room roof	sur le toit de la salle de repos
in the nick of time	juste à temps
incapacitate	rendre incapable de faire qch/neutraliser/immobilier
incentive	incitation/encouragement
infuriat	furieux
inlaid	incrusté
inner	intérieur
innocuous	inoffensif/anodin
instill	insuffler
into	dans
into them	en eux
is a chore	est une corvée
is fond	 aime
it flow like wind	ça coule comme le vent
it grieves me	ça me chagrine
it had gotten	il était devenu
it happen to be	il se trouve que
it is still daylight	il fait encore jour
it will sputter out	ça va crachoter
it's a pity	c'est dommage
it's all hope	tout n'est qu'espoir
it's been over 10 years	ca fait plus de 10 ans
it's not dark	il ne fait pas nuit
it's still clinging	ça colle encore
it's still clinging to me	ça me colle encore
jamming	brouillage
jersey	maillot
journey	voyage/voyager
just has to lift	n'a qu'à soulever
keen	enthousiaste/vif
keep at	poursuivre
keep at it	persévère
keep it up	continuez comme ça
keep shut	rester fermé
keeping their wits	garder la tête froide
kettle	bouilloire
kin	proche
kindly	gentiment
knack	talent/don
lair	repaire
lamp post	lampadaire
lately	dernièrement
laugh it up	riez-en
laugh it up for all i care	rire pour tout ce qui m'importe
layout	disposition
lead on	conduire
leave him be	laisse-le tranquille
lend	prêter
lesson for life	leçon de vie
let alone work with it	encore moins travailler avec
let's get going	allons-y
let's get this over with	finissons-en avec
let's go check in	allons vérifier
let's hang in	accrochons-nous
let's head back	rentrons
let's head up	dirigeons-nous vers
let's hop	sautons
let's hop to it	allons-y
let's wrap this	terminons ça
lie in wait	guetter/à l'affût
life is fleeting	la vie est éphémère
lifted	lever/soulever
lighthouse	phare
likely	probable
limbs	membres
lineage	lignée
listen to me/hear me out	écoutez-moi
little chat	petite conversation
lively	animée
lively	vif/animé/vivant
loathe	détester/haïr
children	enfants
child	enfant
loathe me	me déteste
lone	seul
lone stand	solitaire
long way	long chemin
look down	baisser les yeux
Leap of faith	the act of believing in or accepting something outside the boundaries of reason
look down their noses at us	nous regarde de haut
look for another means	chercher un autre moyen
looking for	à la recherche de
lookout	Attention
loom	métier a tisser/se profiler
lose out	être perdant
love at first sight	le coup de foudre
luggage	bagage
albeit	quoique/bien que
lung	poumon
lure	leurre
underlying	sous-jacent
lurk	se cacher
lying	mensonge
lying down	allongé
haystack	botte de foin
lying over	allongé sur
made of	fait de
made one hell	fait un enfer
made one hell of a mess	fait un sacré gâchis
make it a habit	en faire une habitude
needle	aiguille
endorse it	l'aprouver/le valider
thorough	complet
make up for them	les rattraper
mankind	humanité/Homme
many a	beaucoup de
master	maître/maîtriser
mean meant meant	signifier/vouloir dire
meaningless	sans signification
meantime	entre temps
melt	fondre
melting	fusion
merely	simplement/seulement
mess	désordre/gâchis
messing with	de jouer avec/embêter
might be	pourrait être
mischief	sottises
molding	moulage
mole	taupe
monitoring	surveillance
mosey up	se lever
much obliged	Infiniment reconnaissant
mug	mug/tasse
mutter	marmonner/murmurer
my bare hands	mes mains nues
my fair share	ma juste part
my guinea pig	mon cochon d'inde
my own will	ma propre volonté
my regards	mes salutations
my regulars	mes habitués
my spine	ma colonne vertébrale
nab	attraper/choper
narrow	étroit
neatly	soigneusement
needless	inutile
neighborhood	quartier
nest	nid
nesting	imbrication
newfound	recement decouvert
news this good	des nouvelles aussi bonnes
nike brand goods	produits de la marque nike
nimble	agile
no part in undermining	aucune part dans l'affaiblissement
not to worry	ne pas s'inquiéter
nothing but trash	rien que des ordures
notice	remarquer
oath	serment
odd	étrange
odd job	petit boulot
of a mess	d'un gâchis
of its kind	de son genre
of the people's	du peuple
of wonder	d'émerveillement
off-limits/prohibited	interdit
on behalf	de la part de
on down	vers le bas
on my behalf	en mon nom
on our way	sur notre chemin
on out	sur
on the bound	sur le fil
on the ground floor	au rez-de-chaussée
on to	sur
on up to	sur un maximum de
once we meet	une fois que nous nous rencontrons
once you get into it	une fois qu'on se jette dedans
one must	Il faut/On doit
onto	sur/dans/vers
onto them	sur eux
or else	ou sinon
orchard	verger
otherwise	Par ailleurs
out in open	dehors/en plein air 
out of	par/hors de/en dehors de
out of curiosity	par curiosité
outlander	étranger
outrider	cavalier
outweigh	emporter sur/dépasser
over	sur/plus de /plus/pendant/au-dessus/terminé/fini
over at	a
over at the pillar	au pilier
overcome it	le surmonter
overrun	envahie
oversee	superviser
overthrown	renversé
owe	devoir
owing to	en raison de
owing to the special outcome	en raison du résultat spécial
package	colis/paquet
parcel	parcelle/colis
part	partie/séparer/participé
partings	séparations
pass up	laisser passer
past and gone	passé et disparu
peanut butter	beurre de cacahuète
pedestrian	piéton
pedestrian crossing	passage pieton
perhaps	peut-être/sans doute
perish	périr
personal matters	affaires personnelles
pile up	entasser
pinpointed	identifié
pitiful	pitoyable
place	lieu/place/endroit/placer/passer
plight	situation critique 
plot	terrain/parcelle/intrigue/tracer/comploter
plums	prunes
point	indiquer/pointe
poise	équilibre/calme
poke around	fouiller
policy	politique
post	poste/article/billet/message/poteau/publication/poster/publier
pour	verser
praises	louanges
predicament	situation difficile
presently	présentement/actuellement
pressured	sous pression
pretty bare	assez nu
preventing	empêcher
proceeding	procéder
public transport	transports en commun
pull her under	la faire sombrer
pushovers	des jeux d'enfant
pushy	arrogant
put it away	ranger
put on a	mettre sur un/mettre un
put out	éteindre
putting off maintenance	remettre à plus tard l'entretien
putting up	mettre en place
racking	rayonnage
racking your brain	se creusant la cervelle
raise a child	élever un enfant
rashly	imprudemment
rather unique developments	développements plutôt uniques
readily	facilement
realm	royaume/domaine
reckon	compter/estimer
reckoning	compte
record	enregistrement/dossier/enregistrer
red-handed	en flagrant délit
reef	récif
rejoice	réjouir
reminiscent	rappelant
tackling	s'attaquer
repel	repel
resort	station/recourir/
resurgence	réapparition
rev up	accéléré
revere	vénérer
riches	richesse
rid	débarrasser
rid of you	débarrassé de toi
riddles	énigmes
rile	agacer/énerver
riled up	s'énerver
rise	monter/lever/hausse/augmentation
rise rose rosen	augmenter/s'élever
roof	toit
rope	corde
rot down there	pourrir là-bas
You hypothesize that	Vous faites l'hypothèse que
rotten egg	œuf pourri
rotten egg smell	odeur d'œuf pourri
rough	rude/brutal
rough	rugueux/rude
in which case	dans quel cas
overfitting	sur-ajustement
come in handy	être utile
roughing him	le brutaliser
make up for	compenser
make up for lost time	rattraper le temps perdu
roughing him up	le malmener
happenstance	hasard/hasardeux
ruckus	chahut
rattraper son retard	catch up
run along now	courir maintenant
run amok	se déchaîner
flawed	défectueux
boils down to	se résume à
run down	délabré/vétuste/descendre/dénigrer
rustle up	se débrouiller pour trouver
safe and sound	sain et sauf
sail	voile/navigation/naviguer
salesman	vendeur
salvage	sauvetage
scatter	éparpiller/disperser
scent	parfum
scholar	érudit/savant
scolding	réprimande
scrambling	brouillage
scrap	ferraille
scratch	rayure/égratignure/gratter/rayer
screw this	J'en ai rien à faire
screw you	va te faire voir
scuffle	marcher en traînant les pieds/se bagarrer
seal	sceller
seat post	tige de selle
seeing	voyant
seeing as	voyant comme
seek sought sought	chercher
seem	sembler
seemingly	apparemment
seize	saisir
serial numbers filed off	numéros de série effacés
settle	régler/s'installer
settle for	se contenter de
settle up	régler
settle your bill	régler votre facture
settling	règlement
shabbily	minablement
shamble	marcher en traînant les pieds
shambles	pagaille
shatter	briser
she sure sounds like it	elle y ressemble bien
she went missing	elle a disparu
shelves	des étagères
shipments	expéditions/délivraisons
shirt	chemise
short-tempered	colérique
shorthanded	à court de main-d'œuvre
shout	crier
sidetrack	distraire/détourner
sight	vue/aperçu
sightings	observations
sights	curiosités/attractions
sign	signe/pancarte/panneau/signer/connecter
simmer down	s'apaiser
simply put	tout simplement/pour vous donnez une idée
sing sang sung	chanter
skeletal	squelettique
skeptical	sceptique
skewer	brochette
skirt	jupe
sleek	lisse/élégant
slimy	visqueux/gluant
slip out	glisser
slumber	sommeil
smooth	lisse/doux
snatch	arracher/saisir
soar	envol/s'envoler
soar	s'envoler/s'élever/planer
solid gold	or massif
somehow	en quelque sorte/d'une certaine manière/d'une certaine façon
something is off	quelque chose ne va pas
somewhat	quelque peu
soothe	apaiser
sorely	grandement
sorrow	chagrin/tristess
spare	de rechange
speaking of which	en parlant de ça/d'ailleurs
spilling	effusion
spit it	crache le
spit it out	crache le morceau
spout	jailli/débiter
sprang	jailli/bondit
sprawl	expansion/s'étendre
sprawling	tentaculaire
spring	le printemps
sputter out	crachoter
squeak	grincer
squeaking	grincement
squeeze	presser/écraser
stagger	tribucher/tituber
stamp is the one who will get the job done	le timbre est celui qui fera le travail
stand	se lever/se tenir debout
stand down	démissionner/se retirer
stand for	représenter/défendre
stand in our way	nous barrer la route
stare	Regard
starfell	étoile tombante/étoilé
stash	planque/réserve
steep	raide
steer clear	evitez
stepped up	intensifié
stick around	rester dans les parages
stifling	étouffant
clumsy	maladroit
stir	remuer
shrimp	crevette
hatch	trappe
siblings	freres et soeurs
assumption	supposition/hypothèse
stirring up	remuant
stirring up trouble	semer le trouble
evenly	uniformément/également
stock goods	marchandises en stock
stopwatch	chronomètre
straight away	tout de suite
stray	errer
street light	éclairage public
strip	bande/dépouiller
strip	déshabiller
strip this thing	dépouiller cette chose
strip this thing for parts	dépouiller cette chose pour les pièces
strive	efforcer
strolling up to us	flâner jusqu'à nous
struck	frappé
strum	gratter
stumbled	trébuché
stumbled across	tombé sur
sturdy plank	planche solide
subdue	maîtriser/dominer
suddenly	soudain
summer	été
sunbeam	rayon de soleil
suppliers	fournisseurs
supplies	Provisions/fournitures
surely	sûrement/certainement
inhabitant	habitant
sustainer	soutien
end to end	de bout en bout
swan	cygne
albeit	quoique
sweat	sueur/transpiration/transpirer/suer
swell swoll	gonflé
feature	caractéristiques
the sparsity	la rareté/something being sparse, scarce, or not densely populated
convey	transmettre
swiftly	rapidement
tackle	s'attaquer à/aborder
eager	désireux
Sparse	Clairsemé
take a gander	jetez un coup d'oeil
bootstrap	amorcer
take a stroll down	faire une promenade
ominous	sinistre
take over	reprendre
thriving	prospère
prosperous	prospère
taken over	repris
profitable	rentable
tearing up	déchirer
tearing up town	déchirer la ville
tedious talk	conversation fastidieuse
tell me	dites moi/raconte moi
temper	tempérament
that blossoms	qui fleurit
that i do	Ce que je fais
that might jog your memory	ça pourrait te rafraîchir la mémoire
that wander into town	qui errent en ville
that went well	ça s'est bien passé
that which you	ce que tu
that which you will experience	ce que tu vivras
the Diluc's say-so	les paroles de Diluc
the best bargains yet	les meilleures affaires à ce jour
the bigger critters	les plus grosses bestioles
the bond	le lien
the brilliantly avenged	le brillamment vengé
the burden	la charge/le fardeau
the chatter	le bavardage
the chosen	l'élu
the dare	L'audace
the day after tomorrow	le surlendemain
the goods	les biens/la marchanfise
the grand tour	la grande tournée
the guts	les tripes
the heavens	Le Paradis/ les cieux
the heir	l'héritier
the itch	la démangeaison
the item store's fallen on hard time	le magasin d'articles est tombé en difficulté
the least I can	le moins que je puisse
the ley lines	les lignes telluriques
the opposite of	le contraire de
the outskirt	la périphérie
the plus side	le côté positif
the remains	les restes
the remains at rest	les restes au repos
the robbery	Le vol/pillage
the sigh of a sinner	le soupir d'un pécheur
the slums	les bidonvilles
the so-called	la dite
the sword sheathed	l'épée rengainée
the tail feather	la plume de la queue
the tally	le décompte
the tide's turned in our favor	le vent a tourné en notre faveur
the tides	Les marées
the ties	les liens
the time being	le moment
the vacant lot	le terrain vacant
the very idea	l'idée même
the very idea sends tingles	l'idée même envoie des picotements
the very idea sends tingles down my spine	l'idée même envoie des picotements dans le dos
the whole	la totalité
their envoys	leurs envoyés
their kin	leurs proches
their noses at us	leur nez sur nous
there first thing tomorrow	demain à la première heure
thereby	ainsi
therefore	donc/par conséquant
therefore	donw
they are nesting	ils nichent
they are not monitoring us	ils ne nous surveillent pas
they don't look anything like knights	ils ne ressemblent en rien à des chevaliers
they don't take kindly to questions	ils ne prennent pas gentiment les questions
they have almost	ils ont presque
they must have made off	ils ont dû s'enfuir
they worship	ils vénèrent
think thought thought	penser
thinned	aminci
thinned out	aminci
thirst	la soif
this might be	cela pourrait être
this wouldn't have happened	cela ne serait pas arrivé
thorough	approfondi
thorough notes	des notes détaillées
though	bien que/mais/même si/cependant/pourtant
thoughtful	réfléchi
threatened	menacé
thrive	s'épanouir/prospérer
through a lot	à travers beaucoup
throughout	tout au long de
thrust	poussée
thrusting my chest out	bomber ma poitrine
tide	marée
tidily	proprement
tidy	bien rangé
tidy them up	les ranger
tie	cravate/lien/égalité/attache/attacher/lier/nouer
tied up	attaché
to balls everything up	pour tout bouleverser
to be led	d'être dirigée/d'être conduit
to be passing by	être de passage
to behold	a voir
to channel	pour canaliser
to close up	fermer
to con you	de vous escroquer
to devise	concevoir
to fall completely flat	tomber complètement à plat
to fill	remplir
to fill in	remplir
to gather their kin	rassembler leurs proches
to get off on the right foot	repartir du bon pied
to get your story straight	pour mettre votre histoire au clair
to good use	à bon escient
to make of it	en faire/en penser
to make up for it	Pour compenser/pour se rattraper 
to melt you	pour te faire fondre
to right the	réparer/redresser
to shape up	se mettre en forme
to sing along	chanter a ses cotés
to spare	épargner
to stock up	s'approvisionner
to strut	se pavaner
to tears	aux larmes
to the higher ups	aux plus hauts gradés
to the will	à la volonté
to tie up all loose ends	régler tous les problèmes
to undermine	amoindrir
to what do we owe	à quoi devons-nous
to what do we owe the honor today	à quoi devons-nous l'honneur aujourd'hui
to whip up	attiser/fouetter
told yourself	parle pour toi même
topsiders	les supérieurs
tore	déchiré
tore up	déchiré
touch base	base tactile
traffic jam	embouteillage/bouchon
traffic light	feu tricolor/feu de circulation
